instance,strategy,nodes,runtime,gap
air05,default,983,371.8826279640198,0.0
cap6000,default,2477,5.2956459522247314,0.0
fiber,default,1,5.331598520278931,0.0
gen,default,1,0.05371999740600586,0.0
bnatt500,default,763,600.0536301136017,inf
neos-5107597-kakapo,default,1330,599.0653884410858,0.962837924513917
misc07,default,1835,11.829055786132812,0.0
air05,random,983,354.83954787254333,0.0
cap6000,random,2477,8.469484329223633,0.0
fiber,random,1,6.0123021602630615,0.0
gen,random,1,0.048084259033203125,0.0
misc07,random,1835,10.19751787185669,0.0
air05,pseudocost,983,330.4300854206085,0.0
cap6000,pseudocost,2477,7.560162305831909,0.0
fiber,pseudocost,1,5.115566730499268,0.0
gen,pseudocost,1,0.0357205867767334,0.0
misc07,pseudocost,1835,8.117345809936523,0.0
air05,strong,983,325.63701915740967,0.0
cap6000,strong,2477,7.612467288970947,0.0
fiber,strong,1,5.238413095474243,0.0
gen,strong,1,0.04511117935180664,0.0
misc07,strong,1835,10.35305118560791,0.0
air05,reliability,983,194.0523648262024,0.0
cap6000,reliability,2477,3.623438596725464,0.0
fiber,reliability,1,2.608279228210449,0.0
gen,reliability,1,0.03706192970275879,0.0
misc07,reliability,1835,7.190780401229858,0.0
